task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
diffusion2d,ndde4,new,1,0.3959,0.0841,0.5934,0,1.5304
diffusion2d,ndde4,new,2,0.5718,0.0687,0.6727,0,3.2086
diffusion2d,ndde4,new,4,0.6561,0.0703,0.7040,0,3.7540
diffusion2d,ndde4,new,8,0.7051,0.0684,0.7410,0,4.1047
diffusion2d,ndde4,shift,1,6.3934,1.3988,18.3021,0,38.5548
diffusion2d,ndde4,shift,2,6.8307,1.5024,17.4479,0,35.7355
diffusion2d,ndde4,shift,4,7.0659,1.6079,17.7999,0,36.2914
diffusion2d,ndde4,shift,8,7.4120,1.6231,18.0378,0,36.2484
diffusion2d,nie_mlp,new,1,1.8228,0.3555,3.2798,0,5.4768
diffusion2d,nie_mlp,new,2,2.3535,0.3350,3.4166,0,6.0677
diffusion2d,nie_mlp,new,4,2.7534,0.3462,3.4574,0,7.2621
diffusion2d,nie_mlp,new,8,2.8544,0.2794,3.6253,0,7.7643
diffusion2d,nie_mlp,shift,1,6.9866,0.2989,19.4337,0,23.7759
diffusion2d,nie_mlp,shift,2,7.2552,0.3091,18.6417,0,22.5778
diffusion2d,nie_mlp,shift,4,7.2595,0.3069,18.5600,0,22.4331
diffusion2d,nie_mlp,shift,8,7.3907,0.2829,18.3697,0,22.4411
diffusion2d,node32,new,1,3.8299,0.3020,6.7107,0,9.6815
diffusion2d,node32,new,2,13.9366,2.7720,24.0381,0,29.3948
diffusion2d,node32,new,4,41.9334,18.2534,72.2041,0,106.2071
diffusion2d,node32,new,8,106.9794,77.7895,187.9473,0,274.1774
diffusion2d,node32,shift,1,14.3840,1.9659,38.4130,0,70.2225
diffusion2d,node32,shift,2,18.3784,3.4868,43.8323,0,52.4345
diffusion2d,node32,shift,4,38.0161,18.2114,94.9664,0,98.9916
diffusion2d,node32,shift,8,97.4274,72.7676,247.8833,0,264.0768
diffusion2d,node8,new,1,1.0507,0.1952,1.6877,0,4.4132
diffusion2d,node8,new,2,4.1686,1.6497,6.4973,0,16.9563
diffusion2d,node8,new,4,18.0557,8.6111,30.2844,0,55.6920
diffusion2d,node8,new,8,64.7003,17.1185,109.4343,0,107.1094
diffusion2d,node8,shift,1,11.3320,0.9505,32.0677,0,46.5531
diffusion2d,node8,shift,2,10.8940,1.2450,27.3759,0,35.5851
diffusion2d,node8,shift,4,20.7199,7.2032,52.8304,0,41.3393
diffusion2d,node8,shift,8,62.6916,19.1685,157.0936,0,91.3295
relaxation,ndde4,new,1,0.8620,0.1333,0.9774,0,5.6947
relaxation,ndde4,new,2,1.0772,0.1346,1.1855,0,6.1393
relaxation,ndde4,new,4,1.2548,0.1479,1.3231,0,6.5784
relaxation,ndde4,new,8,1.3451,0.1680,1.3937,0,7.4173
relaxation,ndde4,shift,1,10.5135,0.2719,14.3319,0,63.0569
relaxation,ndde4,shift,2,12.3796,0.3217,15.4740,0,69.3426
relaxation,ndde4,shift,4,13.0187,0.4214,16.0646,0,71.2657
relaxation,ndde4,shift,8,13.0403,0.5820,16.1870,0,70.1786
relaxation,nie_exp,new,1,1.0844,0.0191,1.3303,0,5.4488
relaxation,nie_exp,new,2,1.2485,0.0268,1.4073,0,4.7425
relaxation,nie_exp,new,4,1.7308,0.3235,1.8393,0,5.5997
relaxation,nie_exp,new,8,2.7049,1.7341,2.8793,0,7.2567
relaxation,nie_exp,shift,1,2.9299,0.1931,4.4419,0,15.2270
relaxation,nie_exp,shift,2,3.4545,0.2226,4.8413,0,20.5650
relaxation,nie_exp,shift,4,3.8718,0.1675,5.3272,0,20.8124
relaxation,nie_exp,shift,8,4.7183,1.4863,6.5637,0,20.5764
relaxation,node32,new,1,3.4417,0.1636,4.0333,0,24.5660
relaxation,node32,new,2,11.5590,0.5671,11.6032,0,37.2535
relaxation,node32,new,4,37.3828,3.7060,35.3546,0,112.6037
relaxation,node32,new,8,85.8540,17.5478,84.7026,0,331.4784
relaxation,node32,shift,1,14.9419,1.2072,21.9019,0,93.6284
relaxation,node32,shift,2,25.2312,2.8563,30.9310,0,97.5593
relaxation,node32,shift,4,63.9214,13.4997,75.2545,0,246.0626
relaxation,node32,shift,8,157.9599,53.0407,196.4628,0,656.2588
relaxation,node8,new,1,0.6257,0.1065,0.7077,0,5.9597
relaxation,node8,new,2,1.3897,0.2827,1.4243,0,6.2404
relaxation,node8,new,4,4.1407,0.9766,4.3961,0,12.8717
relaxation,node8,new,8,10.8148,6.7618,11.9299,0,33.8805
relaxation,node8,shift,1,6.3656,1.6680,9.0614,0,39.7452
relaxation,node8,shift,2,7.4254,1.2829,9.1395,0,54.4949
relaxation,node8,shift,4,9.3097,0.4516,11.8303,0,52.0640
relaxation,node8,shift,8,15.6387,4.6763,21.6428,0,52.1427
wave1d,ndde4,new,1,2.6890,0.2021,2.6938,0,21.5990
wave1d,ndde4,new,2,3.2949,0.2795,2.6848,0,44.5311
wave1d,ndde4,new,4,3.2231,0.3217,2.6416,0,42.3682
wave1d,ndde4,new,8,3.1326,0.3135,2.6111,0,33.4030
wave1d,ndde4,shift,1,72.9354,2.8680,55.5572,0,376.9182
wave1d,ndde4,shift,2,71.9932,3.7133,52.3636,0,358.2662
wave1d,ndde4,shift,4,72.0193,4.3068,50.3076,0,349.8668
wave1d,ndde4,shift,8,72.4966,4.6908,49.7031,0,343.2140
wave1d,nie_mlp,new,1,3.6611,0.2355,3.4700,0,23.1936
wave1d,nie_mlp,new,2,3.7915,0.2373,2.9532,0,34.3538
wave1d,nie_mlp,new,4,3.3535,0.1829,2.6129,0,29.0611
wave1d,nie_mlp,new,8,3.1189,0.1667,2.4358,0,23.4661
wave1d,nie_mlp,shift,1,77.5555,4.8034,54.5840,0,353.4214
wave1d,nie_mlp,shift,2,88.8244,6.5225,58.9049,0,336.5473
wave1d,nie_mlp,shift,4,102.6361,7.8783,63.8631,0,620.5029
wave1d,nie_mlp,shift,8,108.2273,13.3936,66.7806,0,660.2485
wave1d,node32,new,1,14.8228,2.9875,17.3104,0,123.8892
wave1d,node32,new,2,39.1891,8.4458,44.7652,0,244.1363
wave1d,node32,new,4,96.3473,17.6502,105.1767,0,310.5825
wave1d,node32,new,8,167.2684,14.2465,189.8981,0,412.8434
wave1d,node32,shift,1,97.9895,5.7879,71.4917,0,375.1152
wave1d,node32,shift,2,105.9625,5.8888,74.4958,0,374.1127
wave1d,node32,shift,4,149.3101,23.3957,111.0173,0,376.8203
wave1d,node32,shift,8,233.9017,51.8196,188.8484,0,673.3494
wave1d,node8,new,1,4.2246,0.2483,4.0781,0,34.0390
wave1d,node8,new,2,5.5573,1.0413,5.6206,0,54.1807
wave1d,node8,new,4,10.6033,4.3757,11.5521,0,72.0202
wave1d,node8,new,8,22.9651,9.9551,25.2190,0,152.8103
wave1d,node8,shift,1,83.5745,3.9871,58.6775,0,556.3530
wave1d,node8,shift,2,84.9415,5.7561,55.6237,0,679.7513
wave1d,node8,shift,4,86.5185,6.2397,54.2184,0,769.2784
wave1d,node8,shift,8,91.9983,7.2262,58.3438,0,717.6514
