task,kind,family,multiple,mean_percent,sd_percent,relative_l2_percent,failures,worst
diffusion2d,anie_lag,new,1,2.1757,0.1482,3.0444,0,5.5525
diffusion2d,anie_lag,new,2,3.6304,0.5356,5.1822,0,9.3999
diffusion2d,anie_lag,new,4,6.9207,2.3606,10.6498,0,12.6691
diffusion2d,anie_lag,new,8,13.4058,5.1367,20.8253,0,26.3750
diffusion2d,anie_lag,shift,1,6.0744,0.7892,15.0594,0,15.9237
diffusion2d,anie_lag,shift,2,6.0814,0.4052,13.4383,0,13.6889
diffusion2d,anie_lag,shift,4,8.2894,1.9100,19.5851,0,15.9106
diffusion2d,anie_lag,shift,8,14.8822,4.6453,38.3745,0,29.4082
diffusion2d,ndde4,new,1,0.5052,0.1092,0.6912,0,2.8791
diffusion2d,ndde4,new,2,0.6488,0.0082,0.7820,0,3.7095
diffusion2d,ndde4,new,4,0.7552,0.0276,0.8133,0,3.9086
diffusion2d,ndde4,new,8,0.7922,0.0353,0.8530,0,3.7750
diffusion2d,ndde4,shift,1,6.2488,1.0218,16.3518,0,22.9738
diffusion2d,ndde4,shift,2,6.7546,1.0087,16.8723,0,22.4062
diffusion2d,ndde4,shift,4,6.6869,1.1217,16.9462,0,19.0665
diffusion2d,ndde4,shift,8,6.3631,1.0580,16.5589,0,17.5211
diffusion2d,nie_exp,new,1,2.8740,0.3544,4.7071,0,12.0796
diffusion2d,nie_exp,new,2,3.6088,0.4589,5.2591,0,10.0169
diffusion2d,nie_exp,new,4,3.9947,0.6307,5.4981,0,9.9403
diffusion2d,nie_exp,new,8,4.6796,0.6155,6.4934,0,9.4728
diffusion2d,nie_exp,shift,1,8.9889,0.2172,23.5757,0,23.0330
diffusion2d,nie_exp,shift,2,8.8705,0.2738,22.0985,0,19.6815
diffusion2d,nie_exp,shift,4,8.5912,0.2745,21.7535,0,17.9788
diffusion2d,nie_exp,shift,8,8.5304,0.3055,22.4181,0,17.6989
diffusion2d,nie_fourier,new,1,2.1985,0.1009,3.7686,0,5.2225
diffusion2d,nie_fourier,new,2,13.4762,0.7408,19.3226,0,38.7832
diffusion2d,nie_fourier,new,4,30.0119,0.9681,34.6192,0,87.3597
diffusion2d,nie_fourier,new,8,42.9244,0.9060,47.0743,0,172.6961
diffusion2d,nie_fourier,shift,1,11.3394,0.0307,32.3997,0,26.3394
diffusion2d,nie_fourier,shift,2,15.3328,0.1836,35.7120,0,35.5321
diffusion2d,nie_fourier,shift,4,21.4717,0.1349,43.4719,0,75.1995
diffusion2d,nie_fourier,shift,8,29.4129,0.1039,52.1981,0,147.5829
diffusion2d,nie_mlp,new,1,2.3322,0.1618,3.9170,0,5.8490
diffusion2d,nie_mlp,new,2,2.7751,0.0591,4.0856,0,7.1409
diffusion2d,nie_mlp,new,4,3.1195,0.0927,3.9787,0,6.7360
diffusion2d,nie_mlp,new,8,3.1686,0.0101,3.9242,0,6.0711
diffusion2d,nie_mlp,shift,1,7.8525,0.0319,22.5141,0,18.8639
